La	*il	+Art+Def+Fem+Sg
partida	partida	+Noun+Fem+Sg
socialdemocratica	socialdemocratic	+Adj+Fem+Sg
(	(	+Punc+Beg
PS	PS	+Prop
)	)	+Punc+End
ha	avair	+Verb+PresInd+3P+Sg
lantschà	lantschar	+Verb+PastPart+Masc+Sg
la	il	+Art+Def+Fem+Sg
campagna	campagna	+Noun+Fem+Sg
per	per	+Prep
l’	il	+Art+Def+Fem+Sg+Apo
elecziun	elecziun	+Noun+Fem+Sg
da	da	+Prep
la	il	+Art+Def+Fem+Sg
regenza	regenza	+Noun+Fem+Sg
grischuna	grischun	+Adj+Fem+Sg
.	.	+Sent

Il	*il	+Art+Def+Masc+Sg
candidat	candidat	+Noun+Masc+Sg
Peter	Peter	+Prop
Peyer	Peyer	+Prop
less	vulair	+Verb+Cond+1P+Sg+UNKNOWN
era	era	+Adv
persvader	persvader	+Verb+Inf
votants	votant	+Noun+Masc+Pl
e	e	+Conj
votantas	votanta	+Noun+Fem+Pl
ch’	che	+Subj+Apo
elegessan	eleger	+Verb+Cond+3P+Pl
atgnamain	atgnamain	+Adv
betg	betg	+Prt+Neg
in	in	+Art+Indef+Masc+Sg
socialdemocrat	socialdemocrat	+Noun+Masc+Sg
,	,	+CM
quai	quai	+Pron+Dem
cun	cun	+Prep
dar	dar	+Verb+Inf
paisa	paisa	+Noun+Fem+Sg
ad	a	+Prep+Apo
in	in	+Art+Indef+Masc+Sg
tema	tema	+Noun+Fem+Sg
burgais	burgais	+Noun+Masc+Pl
en	en	+Prep
sia	ses	+Pron+Poss+Fem+Sg
campagna	campagna	+Noun+Fem+Sg
.	.	+Sent

La	*il	+Art+Def+Fem+Sg
passlunghista	passlunghista	+Noun+Fem+Sg
da	da	+Prep
21	21	+Dig+Card
onns	onn	+Noun+Masc+Pl
da	da	+Prep
Zernez	Zernez	+Prop
participescha	participar	+Verb+PresInd+3P+Sg
per	per	+Prep
l’	il	+Art+Def+Fem+Sg+Apo
emprima	emprim	+Adj+Fem+Sg
giada	giada	+Noun+Fem+Sg
ad	a	+Prep+Apo
in	in	+Art+Indef+Masc+Sg
campiunadi	campiunadi	+Noun+Masc+Sg
mundial	mundial	+Adj+Masc+Sg
da	da	+Prep
passlung	passlung	+Noun+Masc+Sg
.	.	+Sent

Ella	*ella	+Pron+Pers+Nom+3P+Fem+Sg
parta	parter	+Verb+PresInd+3P+Sg
en	en	+Prep
la	il	+Art+Def+Fem+Sg
categoria	categoria	+Noun+Fem+Sg
sut	sut	+Prep
23	23	+Dig+Card
onns	onn	+Noun+Masc+Pl
.	.	+Sent

