assicurabel	o	versicherungsfähig ||| versicherbar
brischabel	x	__
conresponsabel	x	__
ertabel	x	__
giustifitgabel	o	__
inabel	x	untüchtig ||| untauglich
insupperabel	x	__
nunacceptabel	o	__
nunstancabel	x	__
observabel	o	__
portabel	x	__
prubabel	x	__
remarcabel	x	__
reponsabel	o	__
respunsabel	x	__
schefrespunsabel	x	__
spendabel	x	__
surmuntabel	o	überbrückbar
tascabel	x	__
tastgabel	o	Taschen-
beibel	x	__
eurocumpatibel	o	eurokompatibel ||| europafähig ||| europaverträglich
gibel	x	__
horribel	x	__
illegibel	o	unlesbar ||| unleserlich
inconfundibel	?	__
invesibel	x	__
nibel	x	__
nunprevedibel	?	__
vesibel	x	__
