abstegnair	i	cf. s'abstegnair
air	?	__
attrair	i	in den Bann ziehen ||| hinziehen (anziehen) ||| reizen (fig. anziehen) ||| locken (anziehen) ||| auf sich ziehen ||| anlocken ||| verlocken (anziehen) ||| anziehen
badair	x	__
bastair	x	__
bavair	x	__
clair	x	__
cuntagnair	x	__
custair	x	__
dair	x	__
dastgair	x	__
davair	x	__
dischplaschair	x	__
distrair	i	zerstreuen (ablenken) ||| ablenken (zerstreuen)
dovair	x	__
fair	o   fair ||| gerecht (fair)
gudair	x	__
havair	x	__
laschair	x	__
mantenair	x   __
mantgnair	x	__
mategnair	x	__
nunfair	x	__
nunvair	o	falsch (unwahr) ||| unwahr
pajair	x	__
pelvair	o	__
retrair	i	zurückziehen ||| auslösen ||| abholen (beziehen) ||| entgegennehmen ||| herausnehmen (zurückziehen) ||| einziehen (zurückziehen) ||| abnehmen (beziehen) ||| zurücknehmen ||| bestellen (beziehen) ||| abheben (Geld) ||| beziehen ||| fassen (mil.) ||| entziehen (zurückziehen) ||| aufheben (fig. giur. entziehen) ||| einnehmen ||| einlösen ||| entnehmen (beziehen)
sair	x	__
schair	x	__
seretrair	x	__
strair	i	bugsieren (schleppen) ||| schleifen (fig. schleppen) ||| zupfen ||| zerren ||| rupfen (reissen) ||| reissen ||| ziehen (zerren) ||| verzerren (verziehen) ||| schleppen (hinter sich herziehen) ||| raffen
stuvair	x	__
surtrair	i	beziehen (überziehen) ||| überziehen ||| überprägen (geol.)
tair	x	__
trair	i	schmeissen ||| bewerfen ||| knallen (schiessen) ||| schiessen ||| trassieren (econ. ausstellen) ||| zupfen ||| feuern ||| zerren ||| saugen (ziehen) ||| abfeuern ||| ziehen ||| anziehen (festziehen) ||| werfen
