acquirir	o	akquirieren (econ.) ||| erwerben (akquirieren)
admonir	o	rügen ||| warnen (ermahnen) ||| ermahnen ||| erinnern (mahnen) ||| aufrütteln (ermahnen) ||| einen Verweis erteilen ||| vermahnen ||| verwarnen ||| einschärfen (ermahnen) ||| zureden (ermahnen) ||| mahnen
affluir	o	einströmen ||| zufliessen ||| zuströmen ||| zuführen
approfundir	x	__
aschidadir	x	__
aschidagir	x	__
aveir	x	__
avenir	x	__
avigneir	x	__
bargir	x	__
beinreussir	x	__
capir	x	__
concipir	x	__
cumponir	x	__
cuntradir	o	widerstreiten (widersprechen) ||| hohnsprechen (widersprechen) ||| widersprechen ||| bestreiten ||| widersagen ||| abstreiten ||| Kontra geben
cuntribuir	x	__
cunvegnir	o	sich auszahlen (sich lohnen) ||| sich rentieren (fig. sich lohnen) ||| zusagen ||| passen (genehm sein) ||| sich schicken (sich gehören, sich ziemen) ||| liegen (zusagen, gefallen) ||| behagen ||| konvenieren (übereinkommen) ||| sich ziemen ||| sich lohnen (sich auszahlen)
currir	x	__
cusir	x	__
dademplir	x	__
dagir	x	__
dattribuir	x	__
deir	x	__
descuvrir	x	__
desdir	o	kündigen ||| absagen ||| abblasen ||| aufkündigen (Wohnung, Kapital) ||| abbestellen ||| auflösen (fig. kündigen)
dimpedir	x	__
dinstruir	x	__
dintervegnir	x	__
dintroducir	x	__
disgir	x	__
dividir	x	__
dudir	x	__
eir	x	__
elisir	x	__
empunir	o	anfügen (tecn.)
encurir	x	__
enfirmir	x	__
entelgir	x	__
entellir	o	nur in der Verbindung: dar d'entellir
fallir	x	__
galdeir	x	__
gestir	o	verfahren (info.) ||| führen (verwalten, betreiben)
gnir	x	__
grir	x	__
guerir	x	__
imbellir	x	__
infirmir	x	__
ingrondir	x	__
intercurrir	x	__
intervegnir	o	sich einschalten (eingreifen) ||| erfahren ||| dreinreden (sich einmischen) ||| einhaken ||| intervenieren ||| hineinreden (sich einmischen) ||| sich einmischen ||| dazwischenfahren ||| mitmischen (eingreifen) ||| dazwischenreden ||| dazwischentreten (eingreifen) ||| einschreiten ||| eingreifen (einschreiten) ||| hören (erfahren)
lavegnir	x	__
lentir	x	__
maindir	o	geschweige (denn)
martuir	x	__
negligir	x	__
nuir	x	__
nundir	o	geschweige (denn)
nuspir	o	__
offerir	x	__
pitir	x	__
plaisir	x	__
plascheir	x	__
predir	o	voraussagen ||| wahrsagen ||| weissagen ||| prophezeien ||| vorhersagen
profundir	x	__
prolungir	x	__
prosperir	x	__
provegnir	o	erwachsen ||| entstehen ||| sich herleiten ||| herrühren ||| entstammen ||| herkommen ||| entspriessen
pudeir	x	__
quir	x	__
reavrir	x	__
repartir	x	__
retir	x	__
retransferir	x	__
revegnir	o	wiederkommen ||| nachhaken (fig. nachbohren, zurückkommen auf) ||| nachbohren (fig. nachhaken, zurückkommen auf) ||| zurückkommen (auf etwas)
sagir	x	__
saglir	x	__
santeir	x	__
saveir	x	__
scaffir	x	__
sclarir	x	__
scumpartir	x	__
secapir	x	__
secunvegnir	x	__
sedivertir	x	__
seglir	x	__
selubir	x	__
serevegnir	x	__
sesentir	x	__
sesminuir	x	__
sevestgir	x	__
sgargnir	x	__
soir	x	__
spartgir	x	__
surreagir	x	__
sursaglir	x	__
survagneir	x	__
survir	x	__
sustigneir	x	__
tarladir	x	__
teir	x	__
terroir	x	__
tigneir	x	__
transir	x	__
trottoir	x	__
untgir	x	__
urbir	x	__
uschedadir	x	__
uschedir	x	__
vagnir	x	__
vestir	x	__
wir	x	__
