allegr	allegrar
avr	avrir
bavr	bavrar
blasm	blasmar
brascl	brasclar
bricl	briclar
craism	+?
cratschl	cratschlar
crivl	crivlar
cumpr	cumprar
cuvr	cuvrir
dasd	dasdar
discuvr	discuvrir
dovr	duvrar
dumbr	dumbrar
elev	elevar
enschendr	enschendrar
entr	entrar
erptg	erptgar
giaschl	giaschlar
givl	givlar
inscuntr	inscuntrar
intschendr	intschendrar
legr	legrar  # nur el
maldovr	malduvrar
mangl	manglar
manidl	manidlar
marcl	marclar
misl	mislar
numn	numnar
paivr	paivrar
palandr	palandrar
pavl	pavlar
pendr	pendrar
petgn	petgnar
picl	piclar
prezaivr	+?
pupl	puplar
quadr	quadrar
rabl	rablar
raschl	raschlar
recumpr	recumprar
recuvr	recuvrir
rembl	remblar
renumn	renumnar
rescuvr	rescuvrir
rifl	riflar
rimn	rimnar
rodl    rudlar
ruschn	ruschnar
sabl	sablar
sbrinzl	sbrinzlar
sburfl	sburflar
schendr	schendrar
schumbr	schumbrar
scuntr	scuntrar
scuvr	scuvrir
sdiavl	sdiavlar
semn	semnar
sfundr	sfundrar
sgivl	sgivlar
sgnicl	sgniclar
sgnufl	sgnuflar
sgombr	+?
spendr	spendrar
spievl	spievlar
spigl	+?
sprinzl	sprinzlar
spulvr	spulvrar
squadr	squadrar
stgalpr	stgalprar
strangl	stranglar
strivl	strivlar
strocl	+?
stumpl	stumplar
sucuvr	+?
surdovr	surduvrar
surpavl	+?
svutr	svutrar
tacl	taclar
taidl	tadlar
tgembl	tgemblar
trapl	traplar
trembl	tremblar
tretl	tretlar
tschercl	tscherclar
tschincl	tschinclar
tschivl	tschivlar
turbl	turblar
unfl	unflar
urticl	urticlar
zavr	zavrar
zercl	zerclar
zinsl	zinslar
zipl	ziplar
zulpr	zulprar
