# Lemmas aus Korpus1+2, die nicht in den Wortlisten des RM-Morphologieanalyse-Systems vorkommen
# Format: Lemma\tflektierte_Formen_aus_dem_Korpus
# Autorin: Manuela Weibel
# Datum: 29.11.2013
########################################################################################################
abitar	abiteschan
abstrahar	abstrahescha
accelerar	accelerescha
accordar	accordeschan, accordeschia
acquirescha	acquirescha
adattar	adattescha, adatteschan
administrar	administrescha, administreschan, administreschia
adoptar	adoptescha
adossar	adossescha
affirmar	affirmescha
agir	agescha, ageschan, ageschia
agiuditgar	agiuditgescha
agiuntar	agiunteschan
alarmar	alarmescha
alienar	alienescha
allontanar	allontanescha, allontaneschan
amplifitgar	amplifitgeschan
animar	animescha, animeschia, animeschan
annullar	annullescha, annulleschia
appellar	appellescha, appelleschan
approvar	approvescha, approveschan, approveschia
argumentar	argumentescha, argumenteschan
candidar	candideschan
citar	citescha
collavurar	collavureschan
collidar	collideschan
collocar	collochescha
commentar	commentescha
communitgar	communitgescha, communitgeschan
concentrar	concentrescha, concentreschan
concurrenzar	concurrenzescha, concurrenzeschan
confiscar	confiscescha
considerar	considerescha, considereschan
consolidar	consolidescha, consolideschan
constatar	constatescha, constateschan, constateschia
consumar	consumeschan
contactar	contactescha, contacteschan, contacteschia
controllar	controllescha, controlleschan
convocar	convochescha, convocheschan, convocheschia
crititgar	crititgescha, crititgeschan
cultivar	cultiveschan
cumpensar	cumpensescha, cumpenseschan, cumpenseschian
cumpilar	cumpilescha, cumpileschan
cumplettar	cumplettescha, cumpletteschan, cumpletteschian
cuntrastar	cuntrasteschan
cursar	cursescha, curseschan
datar	datescha, dateschan
debitar	debitescha, debiteschan
deditgar	deditgescha, deditgeschan
degradar	degradescha
demonstrar	demonstreschan
deplorar	deplorescha, deploreschia
depositar	depositescha, depositeschia, depositeschan
designar	designescha, designeschan, designeschia, designeschian
diagnostitgar	diagnostitgeschan
difficultar	difficulteschan, difficulteschia
dilucidar	dilucidescha
dischlocar	dischlocheschan
dischonurar	dischonurescha
discreditar	discreditescha
discutar	discutescha, discuteschan
dispensar	dispenseschia
documentar	documentescha, documenteschan
dotar	dotescha
dubitar	dubitescha
elavurar	elavurescha, elavureschan
endatar	endatescha, endateschan
enumerar	enumerescha
evitar	evitescha, eviteschan
exercitar	exerciteschan, exerciteschia
explitgar	explitgescha, explitgescha, explitgeschia
explotar	explotescha, exploteschia
expulsar	expulsescha
extorcar	extorchescha
extrar	extrescha, extreschan
fabritgar	fabritgescha
falsifitgar	falsifitgescha, falsifitgeschan
festivar	festivescha
figurar	figurescha, figureschan
fundar	fundescha
generar	generescha, genereschan
giustifitgar	giustifitgescha, giustifitgeschan, giustifitgeschi
gruppar	gruppeschan
gulivar	gulivescha, guliveschan
identifitgar	identifitgescha, identifitgeschan
ignorar	ignorescha
illustrar	illustrescha, illustreschan, illustreschia
imitar	imitescha
immigrar	immigreschan
incitar	incitescha
inculpar	inculpescha, inculpeschan
incumbensar	incumbensescha
inditgar	inditgescha, inditgeschan, inditgeschian
influenzar	influenzescha, influenzeschia, influenzeschan
inoltrar	inoltrescha, inoltreschan
inspirar	inspireschan
installar	installescha, installeschan
instigar	instighescha
instradar	instradescha
integrar	integrescha, integreschan
interessar	interesseschan
interpretar	interpreteschan
interrogar	interroghescha, interrogheschan
intimar	intimescha
investigar	investighescha
irritar	irritescha
legitimar	legitimescha, legitimeschan
liberar	liberescha
limitar	limitescha, limiteschan
liquidar	liquidescha, liquideschan
manifestar	manifestescha, manifesteschan
martgadar	martgadescha
meglierar	meglierescha, megliereschan
modifitgar	modifitgescha
motivar	motivescha, motiveschan
mutilar	mutilescha
negar	neghescha
negliger	negligescha, negligeschan
notar	notescha
obligar	oblighescha, obligheschan
operar	operescha
optimar	optimescha
orientar	orientescha, orienteschan
pegiurar	pegiurescha
penetrar	penetrescha, penetreschan
periclitar	periclitescha, pericliteschan, pericliteschia
pernottar	pernotteschan
persequitar	persequitescha, persequiteschan, persequiteschia, persequiteschian
plazzar	plazzescha, plazzeschan
pratitgar	pratitgescha, pratitgeschan
predeliberar	predeliberescha, predelibereschan
privar	privescha, priveschan
prognostitgar	prognostitgescha
prolungar	prolunghescha, prolungheschan
propagar	propaghescha
prosperar	prosperescha
protocollar	protocolleschan
provocar	provochescha, provocheschan
publitgar	publitgescha, publitgeschan
pussibilitar	pussibilitescha, pussibiliteschan
qualifitgar	qualifitgescha
quantifitgar	quantifitgeschia
rapportar	rapporteschan
rar	reschissur
ratifitgar	ratifitgescha
recrutar	recrutescha, recruteschan
rectifitgar	rectifitgescha, rectifitgeschan
redublar	redubleschia
reflectar	reflectescha, reflecteschan
refusar	refusescha, refuseschan, refuseschia
registrar	registrescha, registreschan
reglar	reglescha, regleschan
remunerar	remunerescha
renovar	renovescha, renoveschan
resumar	resumescha, resumeschan
retardar	retardescha, retardeschan
revelar	revelescha
revocar	revochescha, revocheschan, revocheschia
scolar	scolescha
segirar	segirescha, segireschan
sequestrar	sequestrescha
sfalsifitgar	sfalsifitgeschan, sfalsifitgeschia
sfigurar	sfigurescha
signifitgar	signifitgescha, signifitgeschan
simplifitgar	simplifitgescha, simplifitgeschan
skizzar	skizzeschan
stagnar	stagnescha, stagneschan
struptgar	struptgescha
supplitgar	supplitgescha, supplitgeschan
surannar	surannescha, suranneschan, suranneschian
suspectar	suspecteschan
svalitar	svalitescha
tangar	tanghescha
taxar	taxescha
tolerar	tolerescha
translatar	translatescha, translateschan
trenar	treneschan
triumfar	triumfeschan
undrar	undrescha
unifitgar	unifitgescha
usurpar	usurpescha
valitar	valitescha, valiteschan
verifitgar	verifitgescha, verifitgeschan, verifitgeschian
viandar	viandescha
visitar	visitescha
vulnerar	vulnerescha
